문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),용량(MB),용량(KB),용량,Folder Path,,,,,,,,,,,,,,,,,,,,,
DOC00001,0621_빌리프21154.png,.png,이사 제외,2022. 7. 12,,,5.41,5.41,5536.47,5669345,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\,,,,,,,,,,,,,,,,,,,,,
DOC00002,0818_[빌리프] 더 트루 크림 모이스춰라이징 밤 2종 키트 누끼컷_세트_1차.jpg,.jpg,보류,2023. 8. 22,,,1.22,1.22,1254.28,1284384,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\,,,,,,,,,,,,,,,,,,,,,
DOC00003,1016_[빌리프] 슈퍼 나이츠 스페셜 키트(23년 온라인) 누끼컷_Q 출고데이터.jpg,.jpg,보류,2023. 10. 16,,,1.41,1.41,1439.39,1473937,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\,,,,,,,,,,,,,,,,,,,,,
DOC00004,1016_[빌리프] 슈퍼 나이츠 스페셜 키트(23년 온라인) 세트컷_Q 출고데이터.jpg,.jpg,보류,2023. 10. 16,,,2.21,2.21,2262.42,2316723,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\,,,,,,,,,,,,,,,,,,,,,
DOC00005,1018_[빌리프] 패딩 담요 판촉물 누끼 세트컷_파우치_Q 출고데이터.jpg,.jpg,이사 제외,2022. 10. 18,,,0.34,0.34,346.04,354350,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\,,,,,,,,,,,,,,,,,,,,,
DOC00006,1018_[빌리프] 패딩 담요 판촉물 세트컷_Q 출고데이터.jpg,.jpg,이사 제외,2022. 10. 18,,,0.50,0.50,512.67,524974,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\,,,,,,,,,,,,,,,,,,,,,
DOC00007,1024_[빌리프] 허브샵 GWP 홀리데이 누끼컷_세트컷_Q 출고데이터.jpg,.jpg,보류,2022. 10. 24,,,2.73,2.73,2790.86,2857845,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\,,,,,,,,,,,,,,,,,,,,,
DOC00008,1024_[빌리프] 허브샵 GWP 홀리데이 누끼컷_패키지_Q 출고데이터.jpg,.jpg,보류,2022. 10. 24,,,1.22,1.22,1251.81,1281855,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\,,,,,,,,,,,,,,,,,,,,,
DOC00009,1109_[빌리프] 21년 홀리데이 메시지카드_4차.ai,.ai,보류,2021. 11. 9,,,0.74,0.74,757.98,776176,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\,,,,,,,,,,,,,,,,,,,,,
DOC00010,1109_[빌리프] 21년 홀리데이 메시지카드_4차.jpg,.jpg,보류,2021. 11. 9,,,0.46,0.46,472.35,483690,C:\Users\LGCARE\Desktop\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\zip파일\누끼컷 모음\,,,,,,,,,,,,,,,,,,,,,
