문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),폴더 경로
DOC00995,1021_[빌리프] 22년 홀리데이 연출컷 2종_A안(기본)_Q 출고데이터.jpg,.jpg,,2022. 10. 21,,,2.43,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC00996,1021_[빌리프] 22년 홀리데이 연출컷 2종_A안(기본)_Q 출고데이터.psd,.psd,,2022. 10. 21,,,233.12,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC00997,1025_[빌리프] 22년 홀리데이 연출컷 2종_B안(기본)_Q 출고데이터 (1).jpg,.jpg,,2022. 10. 27,,,3.15,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC00998,1025_[빌리프] 22년 홀리데이 연출컷 2종_B안(기본)_Q 출고데이터 (2).psd,.psd,,2022. 11. 8,,,270.59,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC00999,1025_[빌리프] 22년 홀리데이 연출컷 2종_B안(솔리드)_Q 출고데이터 (1).psd,.psd,,2022. 11. 8,,,186.37,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC01000,1025_[빌리프] 22년 홀리데이 연출컷 2종_B안(솔리드)_Q 출고데이터 (2).jpg,.jpg,,2022. 10. 27,,,2.69,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC01001,"20221005 belif, code45690수정1.jpg",.jpg,,2022. 10. 25,,,15.48,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC01002,"20221005 belif, code45763수정1.jpg",.jpg,,2022. 10. 25,,,14.41,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC01003,"20221005 belif, code45861수정.jpg",.jpg,,2022. 10. 20,,,15.17,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC01004,"20221005 belif, code45991수정.jpg",.jpg,,2022. 10. 20,,,14.25,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC01005,"20221005 belif, code46054수정.jpg",.jpg,,2022. 10. 20,,,12.05,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC01006,"20221005 belif, code46104수정.jpg",.jpg,,2022. 10. 20,,,8.98,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC01007,20221018 belif49267수정.jpg,.jpg,,2022. 12. 19,,,10.8,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\22 홀리데이\
DOC01008,0810_[빌리프] 모이스춰라이징 밤 점보 에디션 백화점용 연출컷_Q 출고데이터.jpg,.jpg,,2023. 8. 8,,,1.55,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\23년 모밤점보\0810_[빌리프] 모이스춰라이징 밤 점보 에디션 연출컷_Q 출고데이터 (2)\
DOC01009,0810_[빌리프] 모이스춰라이징 밤 점보 에디션 백화점용 연출컷_Q 출고데이터.psd,.psd,,2023. 8. 10,,,122.26,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\23년 모밤점보\0810_[빌리프] 모이스춰라이징 밤 점보 에디션 연출컷_Q 출고데이터 (2)\
DOC01010,0811_[빌리프] 모이스춰라이징 밤 점보 에디션 온라인용 연출컷_Q 출고데이터.jpg,.jpg,,2023. 8. 11,,,2.43,D:\01. 빌리프_컨텐츠아카이빙\01. 빌리프 드라이브\02. 연출컷 모음\연출컷 모음\23년 모밤점보\0810_[빌리프] 모이스춰라이징 밤 점보 에디션 연출컷_Q 출고데이터 (2)\
