문서 번호,(구)파일명,확장자,이동 상태,최종 업로드일,담당자(부서),권한 정보,용량(MB),(구)폴더 경로
DOC02352,#Belif_아쿠아 밤_세로_영문_230714.mp4,.mp4,,2023-07-14,,,110.13,D:\00. Test\영상(유니버스 제외)\
DOC02353,(JMC-belif) 신제품 런칭행사 언니의 파우치 영상 편집본_2차.mp4,.mp4,,2018-09-06,,,70.44,D:\00. Test\영상(유니버스 제외)\
DOC02354,(펜타브리드)0927_빌리프10주년히스토리5차.mp4,.mp4,,2021-09-28,,,118.99,D:\00. Test\영상(유니버스 제외)\
DOC02355,(포스트컴)LGHH_belif_아쿠아 밤 USP 영상 5차본_210319.mp4,.mp4,,2021-03-19,,,65.90,D:\00. Test\영상(유니버스 제외)\
DOC02356,01 빌리프 썸머에디션 스톱모션 1080x1080 최종.mp4,.mp4,,2021-06-24,,,74.44,D:\00. Test\영상(유니버스 제외)\
DOC02357,02 빌리프 썸머에디션 스톱모션 1080x1920 최종.mp4,.mp4,,2021-06-24,,,118.67,D:\00. Test\영상(유니버스 제외)\
DOC02358,0210_Belif_mov_정방형수정 2.mp4,.mp4,,2022-02-14,,,42.04,D:\00. Test\영상(유니버스 제외)\
DOC02359,0210_Belif_mov_정방형수정 3.mp4,.mp4,,2022-02-10,,,41.86,D:\00. Test\영상(유니버스 제외)\
DOC02360,03 빌리프 썸머에디션 스톱모션 1920x1080 최종.mp4,.mp4,,2021-06-24,,,76.30,D:\00. Test\영상(유니버스 제외)\
DOC02361,050215_그린얼루어_빌리프_0425-v1.mp4,.mp4,,2023-05-09,,,60.35,D:\00. Test\영상(유니버스 제외)\
DOC02362,0504_빌리프 57s.mp4,.mp4,,2022-06-07,,,106.27,D:\00. Test\영상(유니버스 제외)\
DOC02363,0520_빌리프 허브 부케.mp4,.mp4,,2021-05-21,,,33.63,D:\00. Test\영상(유니버스 제외)\
DOC02364,1) 아밤 스마트 클렌징 오일 밤 릴스_v3.mp4,.mp4,,2021-05-14,,,16.56,D:\00. Test\영상(유니버스 제외)\
DOC02365,12월호빌리프 (1).mp4,.mp4,,2022-12-07,,,38.24,D:\00. Test\영상(유니버스 제외)\
DOC02366,19년 모밤 점보영상.mp4,.mp4,,2019-03-11,,,99.68,D:\00. Test\영상(유니버스 제외)\
DOC02367,2) 클렌징 오일밤.mp4,.mp4,,2021-09-27,,,19.22,D:\00. Test\영상(유니버스 제외)\
DOC02368,210308 빌리프 슈퍼드랍스.mp4,.mp4,,2021-03-15,,,199.14,D:\00. Test\영상(유니버스 제외)\
DOC02369,21년 에이지 넉다운밤 점보 일러스트 채색영상(2분).mp4,.mp4,,2021-07-05,,,166.63,D:\00. Test\영상(유니버스 제외)\
DOC02370,21년 에이지넉다운밤 일러스트 제작영상(타임랩스).mp4,.mp4,,2021-07-05,,,70.60,D:\00. Test\영상(유니버스 제외)\
DOC02371,220207 빌리프 블루콜렉션 영상_2_claster.mp4,.mp4,,2022-02-07,,,144.77,D:\00. Test\영상(유니버스 제외)\
DOC02372,240119_belif_lipcerin_F.mp4,.mp4,,2024-01-22,,,69.08,D:\00. Test\영상(유니버스 제외)\
DOC02373,3) 아밤 모밤 2.mp4,.mp4,,2021-04-14,,,2.38,D:\00. Test\영상(유니버스 제외)\
DOC02374,3) 아밤 모밤.mp4,.mp4,,2021-04-14,,,2.27,D:\00. Test\영상(유니버스 제외)\
DOC02375,4) 맨올로지.mp4,.mp4,,2021-02-04,,,0.94,D:\00. Test\영상(유니버스 제외)\
DOC02376,5) V크림 텍스쳐 영상.mp4,.mp4,,2021-09-27,,,6.45,D:\00. Test\영상(유니버스 제외)\
DOC02377,6) 넉다운밤 게임 영상.mp4,.mp4,,2021-09-27,,,149.15,D:\00. Test\영상(유니버스 제외)\
DOC02378,belif_0328.mp4,.mp4,,2022-03-28,,,111.77,D:\00. Test\영상(유니버스 제외)\
DOC02379,Belif_06_169.mp4,.mp4,,2022-08-12,,,36.94,D:\00. Test\영상(유니버스 제외)\
DOC02380,Belif_07_10_0.mp4,.mp4,,2022-07-11,,,41.89,D:\00. Test\영상(유니버스 제외)\
DOC02381,BELIF_1-1.mp4,.mp4,,2022-03-30,,,41.29,D:\00. Test\영상(유니버스 제외)\
DOC02382,belif_1vs1_1920p.mp4,.mp4,,2022-03-28,,,113.15,D:\00. Test\영상(유니버스 제외)\
DOC02383,belif_1_0207_final.mov,.mov,,2018-03-08,,,176.86,D:\00. Test\영상(유니버스 제외)\
DOC02384,Belif_2206_0-1.mp4,.mp4,,2022-08-02,,,36.08,D:\00. Test\영상(유니버스 제외)\
DOC02385,belif_모이스춰라이징밤 스톱모션_텍스트+새싹ver_rev.mp4,.mp4,,2021-10-13,,,15.07,D:\00. Test\영상(유니버스 제외)\
DOC02386,Belif_슈퍼나이츠_0208(카플친용).mp4,.mp4,,2022-02-09,,,42.33,D:\00. Test\영상(유니버스 제외)\
DOC02387,belif_아쿠아밤X플리츠마마_210331_최종.mp4,.mp4,,2021-03-31,,,153.59,D:\00. Test\영상(유니버스 제외)\
DOC02388,belif_아쿠아밤X플리츠마마_광고용_FIN.mp4,.mp4,,2021-04-05,,,144.02,D:\00. Test\영상(유니버스 제외)\
DOC02389,belif_허브부케_최종영상_0524.mp4,.mp4,,2021-05-25,,,40.92,D:\00. Test\영상(유니버스 제외)\
DOC02390,F(포스트컴) 빌리프_2021 홀리데이 영상_211026.mp4,.mp4,,2021-10-28,,,76.90,D:\00. Test\영상(유니버스 제외)\
DOC02391,LGHH belif_아쿠아 밤 USP 영상 세로 3차본_210408.mp4,.mp4,,2021-04-08,,,64.66,D:\00. Test\영상(유니버스 제외)\
DOC02392,LGHH belif_아쿠아 밤 USP 영상 영문_210329.mp4,.mp4,,2021-03-29,,,65.06,D:\00. Test\영상(유니버스 제외)\
DOC02393,LGHH_belifage_ver.16.mp4,.mp4,,2021-10-12,,,104.06,D:\00. Test\영상(유니버스 제외)\
DOC02394,LGHH_Belifsun_SQ2_0701.mp4,.mp4,,2021-07-01,,,25.99,D:\00. Test\영상(유니버스 제외)\
DOC02395,LGHH_belifsun_ver.1_0701.mp4,.mp4,,2021-07-01,,,37.74,D:\00. Test\영상(유니버스 제외)\
